"level","Development_Regions","prop"
"0-10","Least Developed",68
"0-10","Less Developed",32
"0-10","More Developed",0
"0-10","Not Classified",0
"10-20","Least Developed",38
"10-20","Less Developed",59
"10-20","More Developed",3
"10-20","Not Classified",0
"20-30","Least Developed",25
"20-30","Less Developed",75
"20-30","More Developed",0
"20-30","Not Classified",0
"30-40","Least Developed",0
"30-40","Less Developed",89
"30-40","More Developed",11
"30-40","Not Classified",0
"40-50","Least Developed",0
"40-50","Less Developed",50
"40-50","More Developed",50
"40-50","Not Classified",0
"50-60","Least Developed",0
"50-60","Less Developed",100
"50-60","More Developed",0
"50-60","Not Classified",0
"60-70","Least Developed",0
"60-70","Less Developed",50
"60-70","More Developed",50
"60-70","Not Classified",0
"over 70","Least Developed",0
"over 70","Less Developed",0
"over 70","More Developed",0
"over 70","Not Classified",0
